Distance,Diameter,Radius,,text
10.6934,1.68335,0.841675,,10.6934 0.841675 0
10.7078,1.68603,0.843015,,10.7078 0.843015 0
10.7179,1.68778,0.84389,,10.7179 0.84389 0
10.7394,1.69115,0.845575,,10.7394 0.845575 0
10.7655,1.69398,0.84699,,10.7655 0.84699 0
10.7984,1.69811,0.849055,,10.7984 0.849055 0
10.813,1.70001,0.850005,,10.813 0.850005 0
10.8291,1.7011,0.85055,,10.8291 0.85055 0
10.83,1.7011,0.85055,,10.83 0.85055 0
10.8644,1.70112,0.85056,,10.8644 0.85056 0
10.8822,1.70168,0.85084,,10.8822 0.85084 0
10.9188,1.7026,0.8513,,10.9188 0.8513 0
10.9749,1.70717,0.853585,,10.9749 0.853585 0
11.0103,1.71065,0.855325,,11.0103 0.855325 0
11.0169,1.71081,0.855405,,11.0169 0.855405 0
11.0515,1.71044,0.85522,,11.0515 0.85522 0
11.058,1.71008,0.85504,,11.058 0.85504 0
11.0833,1.70775,0.853875,,11.0833 0.853875 0
11.0868,1.70737,0.853685,,11.0868 0.853685 0
11.1362,1.70021,0.850105,,11.1362 0.850105 0
11.1409,1.69977,0.849885,,11.1409 0.849885 0
11.1819,1.69589,0.847945,,11.1819 0.847945 0
11.2372,1.69027,0.845135,,11.2372 0.845135 0
11.268,1.68924,0.84462,,11.268 0.84462 0
11.3113,1.68727,0.843635,,11.3113 0.843635 0
11.3362,1.68639,0.843195,,11.3362 0.843195 0
11.3779,1.68532,0.84266,,11.3779 0.84266 0
11.4035,1.68501,0.842505,,11.4035 0.842505 0
11.4091,1.68503,0.842515,,11.4091 0.842515 0
11.4127,1.68466,0.84233,,11.4127 0.84233 0
11.4476,1.68039,0.840195,,11.4476 0.840195 0
11.4744,1.67736,0.83868,,11.4744 0.83868 0
11.5955,1.6796,0.8398,,11.5955 0.8398 0
11.6393,1.68238,0.84119,,11.6393 0.84119 0
11.6442,1.68267,0.841335,,11.6442 0.841335 0
11.6471,1.68272,0.84136,,11.6471 0.84136 0
11.6509,1.68258,0.84129,,11.6509 0.84129 0
11.6626,1.68184,0.84092,,11.6626 0.84092 0
11.6789,1.68087,0.840435,,11.6789 0.840435 0
11.7429,1.67766,0.83883,,11.7429 0.83883 0
11.7448,1.67764,0.83882,,11.7448 0.83882 0
11.7991,1.678,0.839,,11.7991 0.839 0
11.8128,1.67792,0.83896,,11.8128 0.83896 0
11.8332,1.67726,0.83863,,11.8332 0.83863 0
11.8688,1.67661,0.838305,,11.8688 0.838305 0
11.8961,1.67521,0.837605,,11.8961 0.837605 0
11.9386,1.67442,0.83721,,11.9386 0.83721 0
11.9538,1.67437,0.837185,,11.9538 0.837185 0
11.9805,1.67479,0.837395,,11.9805 0.837395 0
11.9824,1.67483,0.837415,,11.9824 0.837415 0
12.0077,1.67549,0.837745,,12.0077 0.837745 0
12.0224,1.67554,0.83777,,12.0224 0.83777 0
12.074,1.67446,0.83723,,12.074 0.83723 0
12.0771,1.67431,0.837155,,12.0771 0.837155 0
12.1276,1.67168,0.83584,,12.1276 0.83584 0
12.1591,1.67149,0.835745,,12.1591 0.835745 0
12.1655,1.6714,0.8357,,12.1655 0.8357 0
12.1798,1.67114,0.83557,,12.1798 0.83557 0
12.2111,1.67052,0.83526,,12.2111 0.83526 0
12.2191,1.67011,0.835055,,12.2191 0.835055 0
12.2372,1.66852,0.83426,,12.2372 0.83426 0
12.2388,1.6684,0.8342,,12.2388 0.8342 0
12.265,1.66672,0.83336,,12.265 0.83336 0
12.2699,1.66624,0.83312,,12.2699 0.83312 0
12.3054,1.66308,0.83154,,12.3054 0.83154 0
12.3254,1.66146,0.83073,,12.3254 0.83073 0
12.375,1.65819,0.829095,,12.375 0.829095 0
12.3754,1.65816,0.82908,,12.3754 0.82908 0
12.4047,1.65558,0.82779,,12.4047 0.82779 0
12.405,1.65556,0.82778,,12.405 0.82778 0
12.4245,1.65355,0.826775,,12.4245 0.826775 0
12.4562,1.65042,0.82521,,12.4562 0.82521 0
12.4866,1.6476,0.8238,,12.4866 0.8238 0
12.4939,1.64678,0.82339,,12.4939 0.82339 0
12.5404,1.63716,0.81858,,12.5404 0.81858 0
12.5488,1.63551,0.817755,,12.5488 0.817755 0
12.6367,1.61451,0.807255,,12.6367 0.807255 0
12.6634,1.6107,0.80535,,12.6634 0.80535 0
12.6678,1.61009,0.805045,,12.6678 0.805045 0
12.6772,1.60831,0.804155,,12.6772 0.804155 0
12.7169,1.59936,0.79968,,12.7169 0.79968 0
12.8227,1.5787,0.78935,,12.8227 0.78935 0
12.8445,1.57552,0.78776,,12.8445 0.78776 0
12.8537,1.57393,0.786965,,12.8537 0.786965 0
12.888,1.56776,0.78388,,12.888 0.78388 0
12.9198,1.56366,0.78183,,12.9198 0.78183 0
12.9198,1.56366,0.78183,,12.9198 0.78183 0
12.9217,1.5634,0.7817,,12.9217 0.7817 0
12.9656,1.55737,0.778685,,12.9656 0.778685 0
13.005,1.55423,0.777115,,13.005 0.777115 0
13.0225,1.55326,0.77663,,13.0225 0.77663 0
13.0422,1.55277,0.776385,,13.0422 0.776385 0
13.0497,1.55238,0.77619,,13.0497 0.77619 0
13.0721,1.55135,0.775675,,13.0721 0.775675 0
13.0853,1.55091,0.775455,,13.0853 0.775455 0
13.1086,1.55003,0.775015,,13.1086 0.775015 0
13.1086,1.55002,0.77501,,13.1086 0.77501 0
13.11,1.54994,0.77497,,13.11 0.77497 0
13.1308,1.54856,0.77428,,13.1308 0.77428 0
13.1609,1.54711,0.773555,,13.1609 0.773555 0
13.1857,1.54603,0.773015,,13.1857 0.773015 0
13.2424,1.54555,0.772775,,13.2424 0.772775 0
13.2429,1.54558,0.77279,,13.2429 0.77279 0
13.2636,1.54673,0.773365,,13.2636 0.773365 0
13.2637,1.54674,0.77337,,13.2637 0.77337 0
13.277,1.54771,0.773855,,13.277 0.773855 0
13.281,1.54794,0.77397,,13.281 0.77397 0
13.2943,1.54865,0.774325,,13.2943 0.774325 0
13.2949,1.54869,0.774345,,13.2949 0.774345 0
13.3199,1.55033,0.775165,,13.3199 0.775165 0
13.3372,1.55139,0.775695,,13.3372 0.775695 0
13.348,1.55178,0.77589,,13.348 0.77589 0
13.348,1.55178,0.77589,,13.348 0.77589 0
13.3509,1.55188,0.77594,,13.3509 0.77594 0
13.3825,1.55327,0.776635,,13.3825 0.776635 0
13.4163,1.55544,0.77772,,13.4163 0.77772 0
13.4163,1.55545,0.777725,,13.4163 0.777725 0
13.4312,1.55697,0.778485,,13.4312 0.778485 0
13.4326,1.55708,0.77854,,13.4326 0.77854 0
13.4362,1.5573,0.77865,,13.4362 0.77865 0
13.4716,1.55928,0.77964,,13.4716 0.77964 0
13.4796,1.55998,0.77999,,13.4796 0.77999 0
13.541,1.56569,0.782845,,13.541 0.782845 0
13.5782,1.57147,0.785735,,13.5782 0.785735 0
13.5926,1.57351,0.786755,,13.5926 0.786755 0
13.6414,1.57905,0.789525,,13.6414 0.789525 0
13.6606,1.58197,0.790985,,13.6606 0.790985 0
13.6736,1.5834,0.7917,,13.6736 0.7917 0
13.6747,1.58351,0.791755,,13.6747 0.791755 0
13.7267,1.58666,0.79333,,13.7267 0.79333 0
13.735,1.58665,0.793325,,13.735 0.793325 0
13.7521,1.58516,0.79258,,13.7521 0.79258 0
13.7983,1.58115,0.790575,,13.7983 0.790575 0
13.7983,1.58115,0.790575,,13.7983 0.790575 0
13.8054,1.58035,0.790175,,13.8054 0.790175 0
13.8401,1.57661,0.788305,,13.8401 0.788305 0
13.8534,1.57542,0.78771,,13.8534 0.78771 0
13.8536,1.5754,0.7877,,13.8536 0.7877 0
13.8614,1.57443,0.787215,,13.8614 0.787215 0
13.8927,1.57035,0.785175,,13.8927 0.785175 0
13.8929,1.57033,0.785165,,13.8929 0.785165 0
