Distance,Diameter,Radius,,Text File Input
9.35825,1.82366,0.91183,,9.35825 0.91183 0
9.3776,1.8234,0.9117,,9.3776 0.9117 0
9.40855,1.82009,0.910045,,9.40855 0.910045 0
9.42998,1.81729,0.908645,,9.42998 0.908645 0
9.4561,1.81376,0.90688,,9.4561 0.90688 0
9.48207,1.8101,0.90505,,9.48207 0.90505 0
9.49404,1.80877,0.904385,,9.49404 0.904385 0
9.54427,1.80346,0.90173,,9.54427 0.90173 0
9.58305,1.8005,0.90025,,9.58305 0.90025 0
9.64106,1.79947,0.899735,,9.64106 0.899735 0
9.64269,1.79947,0.899735,,9.64269 0.899735 0
9.68748,1.79647,0.898235,,9.68748 0.898235 0
9.7194,1.79438,0.89719,,9.7194 0.89719 0
9.75797,1.79168,0.89584,,9.75797 0.89584 0
9.78695,1.78888,0.89444,,9.78695 0.89444 0
9.84593,1.78511,0.892555,,9.84593 0.892555 0
9.85174,1.78479,0.892395,,9.85174 0.892395 0
9.89641,1.78245,0.891225,,9.89641 0.891225 0
9.92015,1.78171,0.890855,,9.92015 0.890855 0
9.96703,1.78059,0.890295,,9.96703 0.890295 0
10.0029,1.77887,0.889435,,10.0029 0.889435 0
10.0198,1.77819,0.889095,,10.0198 0.889095 0
10.0284,1.77799,0.888995,,10.0284 0.888995 0
10.0719,1.77683,0.888415,,10.0719 0.888415 0
10.1418,1.78111,0.890555,,10.1418 0.890555 0
10.1418,1.78112,0.89056,,10.1418 0.89056 0
10.1489,1.78185,0.890925,,10.1489 0.890925 0
10.201,1.78841,0.894205,,10.201 0.894205 0
10.2381,1.79332,0.89666,,10.2381 0.89666 0
10.2479,1.79482,0.89741,,10.2479 0.89741 0
10.2608,1.79635,0.898175,,10.2608 0.898175 0
10.2954,1.80074,0.90037,,10.2954 0.90037 0
10.3139,1.80324,0.90162,,10.3139 0.90162 0
10.394,1.81402,0.90701,,10.394 0.90701 0
10.4307,1.8206,0.9103,,10.4307 0.9103 0
10.4585,1.82634,0.91317,,10.4585 0.91317 0
10.4585,1.82635,0.913175,,10.4585 0.913175 0
10.4709,1.82847,0.914235,,10.4709 0.914235 0
10.4878,1.83179,0.915895,,10.4878 0.915895 0
10.5133,1.83666,0.91833,,10.5133 0.91833 0
10.5311,1.84026,0.92013,,10.5311 0.92013 0
10.5311,1.84027,0.920135,,10.5311 0.920135 0
10.5427,1.8426,0.9213,,10.5427 0.9213 0
10.5614,1.84596,0.92298,,10.5614 0.92298 0
10.5651,1.84666,0.92333,,10.5651 0.92333 0
10.5785,1.84899,0.924495,,10.5785 0.924495 0
10.6097,1.85421,0.927105,,10.6097 0.927105 0
10.6138,1.85423,0.927115,,10.6138 0.927115 0
10.6585,1.85376,0.92688,,10.6585 0.92688 0
10.6687,1.85305,0.926525,,10.6687 0.926525 0
10.7205,1.84932,0.92466,,10.7205 0.92466 0
10.721,1.84928,0.92464,,10.721 0.92464 0
10.8272,1.84683,0.923415,,10.8272 0.923415 0
10.8413,1.8474,0.9237,,10.8413 0.9237 0
10.8894,1.8491,0.92455,,10.8894 0.92455 0
10.907,1.8498,0.9249,,10.907 0.9249 0
10.9293,1.85061,0.925305,,10.9293 0.925305 0
10.9522,1.8509,0.92545,,10.9522 0.92545 0
10.9691,1.85104,0.92552,,10.9691 0.92552 0
11.0191,1.85206,0.92603,,11.0191 0.92603 0
11.1196,1.85302,0.92651,,11.1196 0.92651 0
11.1219,1.85315,0.926575,,11.1219 0.926575 0
11.1291,1.85341,0.926705,,11.1291 0.926705 0
11.1493,1.85352,0.92676,,11.1493 0.92676 0
11.1511,1.85362,0.92681,,11.1511 0.92681 0
11.2187,1.85556,0.92778,,11.2187 0.92778 0
11.231,1.85601,0.928005,,11.231 0.928005 0
11.2961,1.86086,0.93043,,11.2961 0.93043 0
11.3131,1.86184,0.93092,,11.3131 0.93092 0
11.3411,1.86262,0.93131,,11.3411 0.93131 0
11.3816,1.86496,0.93248,,11.3816 0.93248 0
11.5071,1.87739,0.938695,,11.5071 0.938695 0
11.5311,1.88283,0.941415,,11.5311 0.941415 0
11.5633,1.88888,0.94444,,11.5633 0.94444 0
11.5861,1.89325,0.946625,,11.5861 0.946625 0
11.6108,1.89832,0.94916,,11.6108 0.94916 0
11.6167,1.89946,0.94973,,11.6167 0.94973 0
11.652,1.90346,0.95173,,11.652 0.95173 0
11.6737,1.90687,0.953435,,11.6737 0.953435 0
11.7413,1.91935,0.959675,,11.7413 0.959675 0
11.7439,1.91983,0.959915,,11.7439 0.959915 0
11.7763,1.92545,0.962725,,11.7763 0.962725 0
11.7944,1.92727,0.963635,,11.7944 0.963635 0
11.8023,1.9277,0.96385,,11.8023 0.96385 0
11.8688,1.92957,0.964785,,11.8688 0.964785 0
11.8717,1.92969,0.964845,,11.8717 0.964845 0
11.8911,1.93049,0.965245,,11.8911 0.965245 0
11.9199,1.93099,0.965495,,11.9199 0.965495 0
11.9579,1.93223,0.966115,,11.9579 0.966115 0
11.9999,1.9338,0.9669,,11.9999 0.9669 0
12.0326,1.93396,0.96698,,12.0326 0.96698 0
12.0421,1.93371,0.966855,,12.0421 0.966855 0
12.0833,1.93285,0.966425,,12.0833 0.966425 0
12.1202,1.93053,0.965265,,12.1202 0.965265 0
12.1515,1.9288,0.9644,,12.1515 0.9644 0
12.1841,1.92828,0.96414,,12.1841 0.96414 0
12.2327,1.92924,0.96462,,12.2327 0.96462 0
12.2511,1.92961,0.964805,,12.2511 0.964805 0
12.2536,1.92963,0.964815,,12.2536 0.964815 0
12.3015,1.93044,0.96522,,12.3015 0.96522 0
12.3128,1.93003,0.965015,,12.3128 0.965015 0
12.3167,1.92982,0.96491,,12.3167 0.96491 0
12.3262,1.92906,0.96453,,12.3262 0.96453 0
12.3359,1.92823,0.964115,,12.3359 0.964115 0
12.3495,1.9268,0.9634,,12.3495 0.9634 0
12.3499,1.92676,0.96338,,12.3499 0.96338 0
12.3789,1.92429,0.962145,,12.3789 0.962145 0
12.4068,1.92218,0.96109,,12.4068 0.96109 0
12.4247,1.92043,0.960215,,12.4247 0.960215 0
12.4393,1.91914,0.95957,,12.4393 0.95957 0
12.5033,1.91571,0.957855,,12.5033 0.957855 0
12.5175,1.9156,0.9578,,12.5175 0.9578 0
12.5464,1.91453,0.957265,,12.5464 0.957265 0
12.5537,1.91427,0.957135,,12.5537 0.957135 0
12.5596,1.91399,0.956995,,12.5596 0.956995 0
12.6134,1.91167,0.955835,,12.6134 0.955835 0
12.6148,1.91164,0.95582,,12.6148 0.95582 0
12.7016,1.91501,0.957505,,12.7016 0.957505 0
12.7114,1.91587,0.957935,,12.7114 0.957935 0
12.7388,1.91774,0.95887,,12.7388 0.95887 0
12.7557,1.91812,0.95906,,12.7557 0.95906 0
12.7559,1.91812,0.95906,,12.7559 0.95906 0
12.7875,1.91788,0.95894,,12.7875 0.95894 0
12.7903,1.91775,0.958875,,12.7903 0.958875 0
12.9182,1.92265,0.961325,,12.9182 0.961325 0
12.9513,1.92761,0.963805,,12.9513 0.963805 0
12.9588,1.92806,0.96403,,12.9588 0.96403 0
12.9661,1.92839,0.964195,,12.9661 0.964195 0
13.0091,1.93006,0.96503,,13.0091 0.96503 0
13.0339,1.93105,0.965525,,13.0339 0.965525 0
13.0413,1.93141,0.965705,,13.0413 0.965705 0
13.0695,1.9329,0.96645,,13.0695 0.96645 0
13.1088,1.93459,0.967295,,13.1088 0.967295 0
13.1554,1.93833,0.969165,,13.1554 0.969165 0
13.1561,1.93835,0.969175,,13.1561 0.969175 0
13.1644,1.93874,0.96937,,13.1644 0.96937 0
13.195,1.94036,0.97018,,13.195 0.97018 0
13.2086,1.94111,0.970555,,13.2086 0.970555 0
13.2739,1.94216,0.97108,,13.2739 0.97108 0
13.282,1.94251,0.971255,,13.282 0.971255 0
13.3067,1.94336,0.97168,,13.3067 0.97168 0
13.3473,1.94471,0.972355,,13.3473 0.972355 0
13.3995,1.94862,0.97431,,13.3995 0.97431 0
13.4021,1.94875,0.974375,,13.4021 0.974375 0
13.4065,1.94888,0.97444,,13.4065 0.97444 0
13.4301,1.94904,0.97452,,13.4301 0.97452 0
13.4771,1.94952,0.97476,,13.4771 0.97476 0
13.4838,1.94963,0.974815,,13.4838 0.974815 0
13.4839,1.94963,0.974815,,13.4839 0.974815 0
13.5392,1.94948,0.97474,,13.5392 0.97474 0
13.6212,1.9462,0.9731,,13.6212 0.9731 0
13.6312,1.94517,0.972585,,13.6312 0.972585 0
13.6371,1.94431,0.972155,,13.6371 0.972155 0
13.6971,1.93537,0.967685,,13.6971 0.967685 0
13.7435,1.93002,0.96501,,13.7435 0.96501 0
13.7856,1.92402,0.96201,,13.7856 0.96201 0
13.7981,1.92239,0.961195,,13.7981 0.961195 0
13.8111,1.92012,0.96006,,13.8111 0.96006 0
13.8419,1.91403,0.957015,,13.8419 0.957015 0
13.8636,1.91066,0.95533,,13.8636 0.95533 0
13.9178,1.90346,0.95173,,13.9178 0.95173 0
13.9333,1.90211,0.951055,,13.9333 0.951055 0
13.9358,1.90184,0.95092,,13.9358 0.95092 0
13.9654,1.89771,0.948855,,13.9654 0.948855 0
13.9942,1.8939,0.94695,,13.9942 0.94695 0
14.0997,1.88112,0.94056,,14.0997 0.94056 0
14.132,1.87858,0.93929,,14.132 0.93929 0
14.1734,1.87326,0.93663,,14.1734 0.93663 0
14.2323,1.86389,0.931945,,14.2323 0.931945 0
14.343,1.85691,0.928455,,14.343 0.928455 0
14.4126,1.86051,0.930255,,14.4126 0.930255 0
14.4586,1.86396,0.93198,,14.4586 0.93198 0
14.4647,1.86427,0.932135,,14.4647 0.932135 0
14.4807,1.86499,0.932495,,14.4807 0.932495 0
14.523,1.86682,0.93341,,14.523 0.93341 0
14.5433,1.86747,0.933735,,14.5433 0.933735 0
14.5787,1.86927,0.934635,,14.5787 0.934635 0
14.58,1.86938,0.93469,,14.58 0.93469 0
14.6148,1.87236,0.93618,,14.6148 0.93618 0
14.615,1.87238,0.93619,,14.615 0.93619 0
14.6536,1.87765,0.938825,,14.6536 0.938825 0
14.6569,1.87815,0.939075,,14.6569 0.939075 0
14.679,1.8815,0.94075,,14.679 0.94075 0
14.7,1.8852,0.9426,,14.7 0.9426 0
14.7036,1.88598,0.94299,,14.7036 0.94299 0
14.7235,1.89036,0.94518,,14.7235 0.94518 0
14.7236,1.89037,0.945185,,14.7236 0.945185 0
14.7372,1.89371,0.946855,,14.7372 0.946855 0
14.7787,1.90048,0.95024,,14.7787 0.95024 0
14.8525,1.90775,0.953875,,14.8525 0.953875 0
14.8682,1.9094,0.9547,,14.8682 0.9547 0
14.9165,1.91474,0.95737,,14.9165 0.95737 0
14.9231,1.91516,0.95758,,14.9231 0.95758 0
14.9755,1.92043,0.960215,,14.9755 0.960215 0
15.0075,1.92355,0.961775,,15.0075 0.961775 0
15.0545,1.93125,0.965625,,15.0545 0.965625 0
15.0796,1.93563,0.967815,,15.0796 0.967815 0
15.0995,1.93955,0.969775,,15.0995 0.969775 0
15.1063,1.94033,0.970165,,15.1063 0.970165 0
15.1559,1.94585,0.972925,,15.1559 0.972925 0
15.2116,1.9544,0.9772,,15.2116 0.9772 0
15.2196,1.95545,0.977725,,15.2196 0.977725 0
15.2219,1.95584,0.97792,,15.2219 0.97792 0
15.3318,1.97929,0.989645,,15.3318 0.989645 0
15.3321,1.97935,0.989675,,15.3321 0.989675 0
15.342,1.98186,0.99093,,15.342 0.99093 0
15.3855,1.99304,0.99652,,15.3855 0.99652 0
15.3868,1.99336,0.99668,,15.3868 0.99668 0
15.4301,2.0026,1.0013,,15.4301 1.0013 0
15.4496,2.00695,1.003475,,15.4496 1.003475 0
15.5015,2.02227,1.011135,,15.5015 1.011135 0
15.5663,2.03982,1.01991,,15.5663 1.01991 0
15.5763,2.04286,1.02143,,15.5763 1.02143 0
15.6003,2.05078,1.02539,,15.6003 1.02539 0
15.6004,2.0508,1.0254,,15.6004 1.0254 0
15.6107,2.05393,1.026965,,15.6107 1.026965 0
15.6435,2.06063,1.030315,,15.6435 1.030315 0
15.669,2.06324,1.03162,,15.669 1.03162 0
15.6943,2.0654,1.0327,,15.6943 1.0327 0
15.7335,2.06963,1.034815,,15.7335 1.034815 0
15.7571,2.07155,1.035775,,15.7571 1.035775 0
15.7582,2.07158,1.03579,,15.7582 1.03579 0
