Distance,Diameter,Radius,FFR,Text File Input
14.4321,2.23729,1.118645,,14.4321 1.118645 0
14.4556,2.2505,1.12525,,14.4556 1.12525 0
14.4566,2.25103,1.125515,,14.4566 1.125515 0
14.4935,2.27242,1.13621,,14.4935 1.13621 0
14.5175,2.28597,1.142985,,14.5175 1.142985 0
14.5423,2.29992,1.14996,,14.5423 1.14996 0
14.5704,2.31589,1.157945,,14.5704 1.157945 0
14.5818,2.32222,1.16111,,14.5818 1.16111 0
14.6072,2.33609,1.168045,,14.6072 1.168045 0
14.6262,2.34624,1.17312,,14.6262 1.17312 0
14.633,2.34967,1.174835,,14.633 1.174835 0
14.6372,2.3518,1.1759,,14.6372 1.1759 0
14.6809,2.37453,1.187265,,14.6809 1.187265 0
14.6904,2.37957,1.189785,,14.6904 1.189785 0
14.7108,2.39032,1.19516,,14.7108 1.19516 0
14.7218,2.39564,1.19782,,14.7218 1.19782 0
14.7391,2.40401,1.202005,,14.7391 1.202005 0
14.7431,2.40591,1.202955,,14.7431 1.202955 0
14.771,2.41884,1.20942,,14.771 1.20942 0
14.7796,2.42269,1.211345,,14.7796 1.211345 0
14.8033,2.43271,1.216355,,14.8033 1.216355 0
14.8276,2.4432,1.2216,,14.8276 1.2216 0
14.8511,2.453,1.2265,,14.8511 1.2265 0
14.9211,2.48164,1.24082,,14.9211 1.24082 0
14.9317,2.4864,1.2432,,14.9317 1.2432 0
14.9837,2.50885,1.254425,,14.9837 1.254425 0
14.9886,2.51101,1.255505,,14.9886 1.255505 0
15.0005,2.51579,1.257895,,15.0005 1.257895 0
15.0386,2.52836,1.26418,,15.0386 1.26418 0
15.049,2.53124,1.26562,,15.049 1.26562 0
15.0783,2.53871,1.269355,,15.0783 1.269355 0
15.1118,2.54699,1.273495,,15.1118 1.273495 0
15.1119,2.54703,1.273515,,15.1119 1.273515 0
15.1199,2.54888,1.27444,,15.1199 1.27444 0
15.1596,2.55762,1.27881,,15.1596 1.27881 0
15.1897,2.56196,1.28098,,15.1897 1.28098 0
15.2042,2.56426,1.28213,,15.2042 1.28213 0
15.2446,2.57108,1.28554,,15.2446 1.28554 0
15.293,2.58023,1.290115,,15.293 1.290115 0
15.3024,2.58202,1.29101,,15.3024 1.29101 0
15.3025,2.58203,1.291015,,15.3025 1.291015 0
15.3118,2.58369,1.291845,,15.3118 1.291845 0
15.3471,2.58818,1.29409,,15.3471 1.29409 0
15.3582,2.58943,1.294715,,15.3582 1.294715 0
15.402,2.59306,1.29653,,15.402 1.29653 0
15.4063,2.59344,1.29672,,15.4063 1.29672 0
15.4647,2.59584,1.29792,,15.4647 1.29792 0
15.5802,2.60648,1.30324,,15.5802 1.30324 0
15.6192,2.61246,1.30623,,15.6192 1.30623 0
15.6433,2.6158,1.3079,,15.6433 1.3079 0
15.6734,2.61972,1.30986,,15.6734 1.30986 0
15.6861,2.62114,1.31057,,15.6861 1.31057 0
15.7205,2.62386,1.31193,,15.7205 1.31193 0
15.7282,2.62424,1.31212,,15.7282 1.31212 0
15.7572,2.62536,1.31268,,15.7572 1.31268 0
15.7677,2.62576,1.31288,,15.7677 1.31288 0
15.8149,2.62815,1.314075,,15.8149 1.314075 0
15.8917,2.63766,1.31883,,15.8917 1.31883 0
15.8917,2.63766,1.31883,,15.8917 1.31883 0
15.8928,2.63781,1.318905,,15.8928 1.318905 0
15.9207,2.64053,1.320265,,15.9207 1.320265 0
15.9627,2.64398,1.32199,,15.9627 1.32199 0
15.9667,2.64423,1.322115,,15.9667 1.322115 0
15.988,2.64538,1.32269,,15.988 1.32269 0
16.0319,2.64862,1.32431,,16.0319 1.32431 0
16.0387,2.6489,1.32445,,16.0387 1.32445 0
16.0412,2.64891,1.324455,,16.0412 1.324455 0
16.042,2.64891,1.324455,,16.042 1.324455 0
16.1045,2.65086,1.32543,,16.1045 1.32543 0
16.2234,2.66588,1.33294,,16.2234 1.33294 0
16.2563,2.67183,1.335915,,16.2563 1.335915 0
16.2592,2.67235,1.336175,,16.2592 1.336175 0
16.3277,2.68415,1.342075,,16.3277 1.342075 0
16.3414,2.68638,1.34319,,16.3414 1.34319 0
16.3444,2.68675,1.343375,,16.3444 1.343375 0
16.3725,2.68985,1.344925,,16.3725 1.344925 0
