Distance,Diameter,Radius,,Text File Input
10.3525,1.42064,0.71032,,10.3525 0.71032 0
10.3665,1.42139,0.710695,,10.3665 0.710695 0
10.3896,1.42418,0.71209,,10.3896 0.71209 0
10.4301,1.42799,0.713995,,10.4301 0.713995 0
10.472,1.43659,0.718295,,10.472 0.718295 0
10.4828,1.43906,0.71953,,10.4828 0.71953 0
10.4863,1.4398,0.7199,,10.4863 0.7199 0
10.4951,1.44147,0.720735,,10.4951 0.720735 0
10.5109,1.44395,0.721975,,10.5109 0.721975 0
10.5125,1.44417,0.722085,,10.5125 0.722085 0
10.5349,1.44746,0.72373,,10.5349 0.72373 0
10.5512,1.44958,0.72479,,10.5512 0.72479 0
10.57,1.4513,0.72565,,10.57 0.72565 0
10.6243,1.45894,0.72947,,10.6243 0.72947 0
10.6508,1.4633,0.73165,,10.6508 0.73165 0
10.6852,1.46917,0.734585,,10.6852 0.734585 0
10.6946,1.47077,0.735385,,10.6946 0.735385 0
10.7092,1.47355,0.736775,,10.7092 0.736775 0
10.7092,1.47356,0.73678,,10.7092 0.73678 0
10.7121,1.47402,0.73701,,10.7121 0.73701 0
10.7196,1.47486,0.73743,,10.7196 0.73743 0
10.7237,1.47522,0.73761,,10.7237 0.73761 0
10.7797,1.48055,0.740275,,10.7797 0.740275 0
10.7913,1.48159,0.740795,,10.7913 0.740795 0
10.7994,1.48226,0.74113,,10.7994 0.74113 0
10.8648,1.4917,0.74585,,10.8648 0.74585 0
10.8664,1.49194,0.74597,,10.8664 0.74597 0
10.8917,1.49512,0.74756,,10.8917 0.74756 0
10.924,1.49923,0.749615,,10.924 0.749615 0
10.9677,1.50617,0.753085,,10.9677 0.753085 0
10.9703,1.50651,0.753255,,10.9703 0.753255 0
11.0018,1.51091,0.755455,,11.0018 0.755455 0
11.0087,1.51193,0.755965,,11.0087 0.755965 0
11.0283,1.51581,0.757905,,11.0283 0.757905 0
11.0337,1.51708,0.75854,,11.0337 0.75854 0
11.038,1.51778,0.75889,,11.038 0.75889 0
11.0505,1.51938,0.75969,,11.0505 0.75969 0
11.0679,1.52171,0.760855,,11.0679 0.760855 0
11.0682,1.52176,0.76088,,11.0682 0.76088 0
11.1118,1.52781,0.763905,,11.1118 0.763905 0
11.1192,1.52871,0.764355,,11.1192 0.764355 0
11.1388,1.53082,0.76541,,11.1388 0.76541 0
11.1394,1.5309,0.76545,,11.1394 0.76545 0
11.1684,1.53526,0.76763,,11.1684 0.76763 0
11.1735,1.53598,0.76799,,11.1735 0.76799 0
11.1832,1.53678,0.76839,,11.1832 0.76839 0
11.2364,1.54165,0.770825,,11.2364 0.770825 0
11.2895,1.55012,0.77506,,11.2895 0.77506 0
11.291,1.5505,0.77525,,11.291 0.77525 0
11.3027,1.55272,0.77636,,11.3027 0.77636 0
11.3276,1.55634,0.77817,,11.3276 0.77817 0
11.3657,1.56038,0.78019,,11.3657 0.78019 0
11.3667,1.56048,0.78024,,11.3667 0.78024 0
11.3761,1.56118,0.78059,,11.3761 0.78059 0
11.3921,1.56288,0.78144,,11.3921 0.78144 0
