Distance,Diameter,Radius,FFR,Text File Input
10.51,1.49529,0.747645,,10.51 0.747645 0
10.5478,1.48866,0.74433,,10.5478 0.74433 0
10.5703,1.48535,0.742675,,10.5703 0.742675 0
10.603,1.48164,0.74082,,10.603 0.74082 0
10.6307,1.47813,0.739065,,10.6307 0.739065 0
10.6787,1.4724,0.7362,,10.6787 0.7362 0
10.6788,1.47239,0.736195,,10.6788 0.736195 0
10.6793,1.47233,0.736165,,10.6793 0.736165 0
10.7382,1.46593,0.732965,,10.7382 0.732965 0
10.7615,1.46385,0.731925,,10.7615 0.731925 0
10.7648,1.4634,0.7317,,10.7648 0.7317 0
10.7881,1.46042,0.73021,,10.7881 0.73021 0
10.8062,1.4581,0.72905,,10.8062 0.72905 0
10.8233,1.45587,0.727935,,10.8233 0.727935 0
10.8429,1.45337,0.726685,,10.8429 0.726685 0
10.846,1.45294,0.72647,,10.846 0.72647 0
10.8844,1.44844,0.72422,,10.8844 0.72422 0
10.885,1.44834,0.72417,,10.885 0.72417 0
10.9381,1.44236,0.72118,,10.9381 0.72118 0
10.9419,1.44203,0.721015,,10.9419 0.721015 0
10.9549,1.4413,0.72065,,10.9549 0.72065 0
10.96,1.44056,0.72028,,10.96 0.72028 0
10.9601,1.44055,0.720275,,10.9601 0.720275 0
11.038,1.43625,0.718125,,11.038 0.718125 0
11.0802,1.43607,0.718035,,11.0802 0.718035 0
11.1147,1.43743,0.718715,,11.1147 0.718715 0
11.1256,1.43754,0.71877,,11.1256 0.71877 0
11.1268,1.43747,0.718735,,11.1268 0.718735 0
11.1431,1.4369,0.71845,,11.1431 0.71845 0
11.2016,1.43803,0.719015,,11.2016 0.719015 0
11.2169,1.43898,0.71949,,11.2169 0.71949 0
11.2255,1.43964,0.71982,,11.2255 0.71982 0
11.2294,1.43998,0.71999,,11.2294 0.71999 0
11.2478,1.44151,0.720755,,11.2478 0.720755 0
11.2533,1.44193,0.720965,,11.2533 0.720965 0
11.2534,1.44194,0.72097,,11.2534 0.72097 0
11.2777,1.44183,0.720915,,11.2777 0.720915 0
11.2922,1.44177,0.720885,,11.2922 0.720885 0
11.3269,1.44131,0.720655,,11.3269 0.720655 0
11.3945,1.44529,0.722645,,11.3945 0.722645 0
11.4137,1.44787,0.723935,,11.4137 0.723935 0
11.422,1.44895,0.724475,,11.422 0.724475 0
11.4551,1.45475,0.727375,,11.4551 0.727375 0
11.4618,1.45582,0.72791,,11.4618 0.72791 0
11.5099,1.46132,0.73066,,11.5099 0.73066 0
11.5144,1.46211,0.731055,,11.5144 0.731055 0
11.5331,1.46479,0.732395,,11.5331 0.732395 0
11.5834,1.47371,0.736855,,11.5834 0.736855 0
11.6092,1.47938,0.73969,,11.6092 0.73969 0
11.6636,1.49049,0.745245,,11.6636 0.745245 0
11.6896,1.49703,0.748515,,11.6896 0.748515 0
11.7166,1.5041,0.75205,,11.7166 0.75205 0
11.727,1.50672,0.75336,,11.727 0.75336 0
11.728,1.50694,0.75347,,11.728 0.75347 0
11.7446,1.51058,0.75529,,11.7446 0.75529 0
11.7573,1.51376,0.75688,,11.7573 0.75688 0
11.7885,1.52233,0.761165,,11.7885 0.761165 0
11.7887,1.52237,0.761185,,11.7887 0.761185 0
11.8224,1.5325,0.76625,,11.8224 0.76625 0
11.8346,1.53583,0.767915,,11.8346 0.767915 0
11.8348,1.5359,0.76795,,11.8348 0.76795 0
11.8546,1.54123,0.770615,,11.8546 0.770615 0
11.8547,1.54124,0.77062,,11.8547 0.77062 0
11.8683,1.54521,0.772605,,11.8683 0.772605 0
11.8683,1.54521,0.772605,,11.8683 0.772605 0
11.8714,1.54594,0.77297,,11.8714 0.77297 0
11.8715,1.54598,0.77299,,11.8715 0.77299 0
11.8902,1.55024,0.77512,,11.8902 0.77512 0
11.9059,1.55444,0.77722,,11.9059 0.77722 0
11.9062,1.55455,0.777275,,11.9062 0.777275 0
11.9335,1.56316,0.78158,,11.9335 0.78158 0
11.9336,1.5632,0.7816,,11.9336 0.7816 0
11.9579,1.5713,0.78565,,11.9579 0.78565 0
11.9579,1.57131,0.785655,,11.9579 0.785655 0
11.9607,1.57219,0.786095,,11.9607 0.786095 0
11.9658,1.57369,0.786845,,11.9658 0.786845 0
11.9733,1.57584,0.78792,,11.9733 0.78792 0
12.0243,1.5904,0.7952,,12.0243 0.7952 0
12.0278,1.59151,0.795755,,12.0278 0.795755 0
12.0281,1.59161,0.795805,,12.0281 0.795805 0
12.0465,1.59762,0.79881,,12.0465 0.79881 0
12.0521,1.59958,0.79979,,12.0521 0.79979 0
12.0769,1.60865,0.804325,,12.0769 0.804325 0
12.0769,1.60866,0.80433,,12.0769 0.80433 0
12.0791,1.60939,0.804695,,12.0791 0.804695 0
12.0833,1.6108,0.8054,,12.0833 0.8054 0
12.0934,1.61426,0.80713,,12.0934 0.80713 0
12.0958,1.61514,0.80757,,12.0958 0.80757 0
12.136,1.62994,0.81497,,12.136 0.81497 0
12.1405,1.63125,0.815625,,12.1405 0.815625 0
12.1634,1.6378,0.8189,,12.1634 0.8189 0
12.1705,1.63909,0.819545,,12.1705 0.819545 0
12.1742,1.63953,0.819765,,12.1742 0.819765 0
12.2235,1.64586,0.82293,,12.2235 0.82293 0
12.2473,1.65035,0.825175,,12.2473 0.825175 0
12.2557,1.65161,0.825805,,12.2557 0.825805 0
12.304,1.65871,0.829355,,12.304 0.829355 0
12.3129,1.66014,0.83007,,12.3129 0.83007 0
12.3243,1.66156,0.83078,,12.3243 0.83078 0
12.3264,1.66178,0.83089,,12.3264 0.83089 0
12.3575,1.665,0.8325,,12.3575 0.8325 0
12.3575,1.66501,0.832505,,12.3575 0.832505 0
12.3663,1.66625,0.833125,,12.3663 0.833125 0
12.3666,1.6663,0.83315,,12.3666 0.83315 0
12.3863,1.66901,0.834505,,12.3863 0.834505 0
12.4015,1.67122,0.83561,,12.4015 0.83561 0
12.4504,1.6753,0.83765,,12.4504 0.83765 0
12.4605,1.67609,0.838045,,12.4605 0.838045 0
12.4605,1.67609,0.838045,,12.4605 0.838045 0
12.4657,1.67641,0.838205,,12.4657 0.838205 0
12.4892,1.67798,0.83899,,12.4892 0.83899 0
12.5188,1.67999,0.839995,,12.5188 0.839995 0
12.5204,1.68012,0.84006,,12.5204 0.84006 0
12.5587,1.68351,0.841755,,12.5587 0.841755 0
12.5763,1.68538,0.84269,,12.5763 0.84269 0
12.5955,1.68694,0.84347,,12.5955 0.84347 0
12.6162,1.68807,0.844035,,12.6162 0.844035 0
12.6382,1.68927,0.844635,,12.6382 0.844635 0
12.6686,1.69111,0.845555,,12.6686 0.845555 0
12.6808,1.69117,0.845585,,12.6808 0.845585 0
12.7098,1.69075,0.845375,,12.7098 0.845375 0
12.7375,1.69044,0.84522,,12.7375 0.84522 0
12.7705,1.69025,0.845125,,12.7705 0.845125 0
12.7774,1.6902,0.8451,,12.7774 0.8451 0
12.7981,1.69033,0.845165,,12.7981 0.845165 0
12.8224,1.69004,0.84502,,12.8224 0.84502 0
12.8726,1.69063,0.845315,,12.8726 0.845315 0
12.8912,1.69005,0.845025,,12.8912 0.845025 0
12.9502,1.68788,0.84394,,12.9502 0.84394 0
12.9574,1.68781,0.843905,,12.9574 0.843905 0
12.9845,1.68644,0.84322,,12.9845 0.84322 0
13.044,1.68537,0.842685,,13.044 0.842685 0
13.068,1.68573,0.842865,,13.068 0.842865 0
13.1033,1.68587,0.842935,,13.1033 0.842935 0
13.1299,1.68618,0.84309,,13.1299 0.84309 0
13.1632,1.68676,0.84338,,13.1632 0.84338 0
13.1663,1.68682,0.84341,,13.1663 0.84341 0
13.1672,1.68682,0.84341,,13.1672 0.84341 0
13.1695,1.68678,0.84339,,13.1695 0.84339 0
13.2061,1.68507,0.842535,,13.2061 0.842535 0
13.2611,1.68282,0.84141,,13.2611 0.84141 0
13.2977,1.68219,0.841095,,13.2977 0.841095 0
13.3296,1.6822,0.8411,,13.3296 0.8411 0
13.3965,1.68251,0.841255,,13.3965 0.841255 0
13.4076,1.683,0.8415,,13.4076 0.8415 0
13.426,1.68354,0.84177,,13.426 0.84177 0
13.4375,1.6837,0.84185,,13.4375 0.84185 0
13.4935,1.68576,0.84288,,13.4935 0.84288 0
13.5047,1.68637,0.843185,,13.5047 0.843185 0
13.5076,1.68647,0.843235,,13.5076 0.843235 0
13.5661,1.68951,0.844755,,13.5661 0.844755 0
13.6135,1.69221,0.846105,,13.6135 0.846105 0
13.6137,1.69223,0.846115,,13.6137 0.846115 0
13.6277,1.69384,0.84692,,13.6277 0.84692 0
13.6277,1.69384,0.84692,,13.6277 0.84692 0
13.6307,1.69425,0.847125,,13.6307 0.847125 0
13.6354,1.69417,0.847085,,13.6354 0.847085 0
13.6914,1.69431,0.847155,,13.6914 0.847155 0
13.6917,1.69428,0.84714,,13.6917 0.84714 0
13.7417,1.6926,0.8463,,13.7417 0.8463 0
13.7905,1.69415,0.847075,,13.7905 0.847075 0
