Distance,Diameter,Radius,,text,,,FFR
4.49753,1.37228,0.68614,,4.49753 0.68614 0,,,
4.50973,1.36391,0.681955,,4.50973 0.681955 0,,,
4.54208,1.34156,0.67078,,4.54208 0.67078 0,,,
4.57634,1.31929,0.659645,,4.57634 0.659645 0,,,
4.58932,1.31083,0.655415,,4.58932 0.655415 0,,,
4.6148,1.2944,0.6472,,4.6148 0.6472 0,,,
4.68111,1.25704,0.62852,,4.68111 0.62852 0,,,
4.68667,1.25412,0.62706,,4.68667 0.62706 0,,,
4.71306,1.23968,0.61984,,4.71306 0.61984 0,,,
4.72898,1.23126,0.61563,,4.72898 0.61563 0,,,
4.73612,1.22745,0.613725,,4.73612 0.613725 0,,,
4.73641,1.22728,0.61364,,4.73641 0.61364 0,,,
4.7581,1.21451,0.607255,,4.7581 0.607255 0,,,
4.84947,1.16851,0.584255,,4.84947 0.584255 0,,,
4.87259,1.15963,0.579815,,4.87259 0.579815 0,,,
4.89559,1.15143,0.575715,,4.89559 0.575715 0,,,
4.89608,1.15124,0.57562,,4.89608 0.57562 0,,,
4.93841,1.1353,0.56765,,4.93841 0.56765 0,,,
4.93993,1.13471,0.567355,,4.93993 0.567355 0,,,
4.97697,1.12073,0.560365,,4.97697 0.560365 0,,,
5.02525,1.10584,0.55292,,5.02525 0.55292 0,,,
5.02702,1.10539,0.552695,,5.02702 0.552695 0,,,
5.08493,1.09559,0.547795,,5.08493 0.547795 0,,,
5.08906,1.09529,0.547645,,5.08906 0.547645 0,,,
5.11424,1.09262,0.54631,,5.11424 0.54631 0,,,
5.11962,1.092,0.546,,5.11962 0.546 0,,,
5.12923,1.09091,0.545455,,5.12923 0.545455 0,,,
5.14863,1.08866,0.54433,,5.14863 0.54433 0,,,
5.15494,1.08784,0.54392,,5.15494 0.54392 0,,,
5.17093,1.08554,0.54277,,5.17093 0.54277 0,,,
5.18545,1.08384,0.54192,,5.18545 0.54192 0,,,
5.18983,1.08359,0.541795,,5.18983 0.541795 0,,,
5.28345,1.08367,0.541835,,5.28345 0.541835 0,,,
5.31997,1.08978,0.54489,,5.31997 0.54489 0,,,
5.33055,1.09189,0.545945,,5.33055 0.545945 0,,,
5.34051,1.09385,0.546925,,5.34051 0.546925 0,,,
5.35504,1.09671,0.548355,,5.35504 0.548355 0,,,
5.3591,1.09751,0.548755,,5.3591 0.548755 0,,,
5.38442,1.10292,0.55146,,5.38442 0.55146 0,,,
5.41315,1.10981,0.554905,,5.41315 0.554905 0,,,
5.44528,1.11756,0.55878,,5.44528 0.55878 0,,,
5.45905,1.12114,0.56057,,5.45905 0.56057 0,,,
5.47347,1.12518,0.56259,,5.47347 0.56259 0,,,
5.50008,1.13335,0.566675,,5.50008 0.566675 0,,,
5.51488,1.13852,0.56926,,5.51488 0.56926 0,,,
5.54161,1.14865,0.574325,,5.54161 0.574325 0,,,
5.55142,1.15269,0.576345,,5.55142 0.576345 0,,,
5.57972,1.1637,0.58185,,5.57972 0.58185 0,,,
5.59185,1.16844,0.58422,,5.59185 0.58422 0,,,
5.59206,1.16852,0.58426,,5.59206 0.58426 0,,,
5.63209,1.18153,0.590765,,5.63209 0.590765 0,,,
5.64043,1.18427,0.592135,,5.64043 0.592135 0,,,
5.64166,1.18469,0.592345,,5.64166 0.592345 0,,,
5.68448,1.19937,0.599685,,5.68448 0.599685 0,,,
5.74961,1.22868,0.61434,,5.74961 0.61434 0,,,
5.76905,1.23853,0.619265,,5.76905 0.619265 0,,,
5.80287,1.2556,0.6278,,5.80287 0.6278 0,,,
5.8154,1.2619,0.63095,,5.8154 0.63095 0,,,
5.8316,1.2697,0.63485,,5.8316 0.63485 0,,,
5.83687,1.27207,0.636035,,5.83687 0.636035 0,,,
5.84349,1.27471,0.637355,,5.84349 0.637355 0,,,
5.84389,1.27485,0.637425,,5.84389 0.637425 0,,,
5.86036,1.28057,0.640285,,5.86036 0.640285 0,,,
5.86046,1.28061,0.640305,,5.86046 0.640305 0,,,
